Country,"Adults (In 1,000)",Wealth per adult (USD),Wealth per adult (USD),Distribution of adults (%) by wealth range (USD),Distribution of adults (%) by wealth range (USD),Distribution of adults (%) by wealth range (USD),Distribution of adults (%) by wealth range (USD),Gini (%)
Country,"Adults (In 1,000)",Mean,Median,Under 10k,10k – 100k,100k – 1M,Over 1M,Gini (%)
Afghanistan,18356,1744,734,97.6,2.4,0.1,0.0,72.8
Albania,2187,30524,15363,41.0,54.2,4.7,0.1,68.2
Algeria,27620,8871,2302,87.0,11.7,1.2,0.1,84.8
Angola,14339,3529,1131,93.5,6.2,0.2,0.0,80.6
Argentina,30799,7224,2157,88.2,11.2,0.6,0.0,81.2
Armenia,2176,22573,9411,52.3,44.0,3.5,0.1,73.0
Australia,19159,483755,238072,9.8,20.7,60.0,9.4,65.6
Austria,7271,290348,91833,14.2,36.9,44.1,4.8,73.5
Azerbaijan,7155,11926,5022,73.5,25.2,1.3,0.0,72.7
Bahamas,278,56737,7507,54.0,39.7,5.7,0.6,91.4
Bahrain,1318,87559,14520,45.0,48.0,6.1,0.9,88.9
Bangladesh,106060,7837,3062,84.6,14.6,0.7,0.0,75.2
Barbados,221,63261,21071,41.0,46.0,12.4,0.6,80.4
Belarus,7367,23278,12168,45.9,51.3,2.8,0.1,66.7
Belgium,8993,351327,230548,11.9,20.1,62.3,5.7,60.3
Belize,245,10364,3015,82.0,16.6,1.4,0.0,83.4
Benin,5839,2558,890,95.6,4.3,0.1,0.0,78.2
Bolivia,7088,12286,3804,78.1,20.5,1.3,0.1,81.0
Bosnia and Herzegovina,2637,30597,15283,41.0,54.1,4.8,0.1,68.6
Botswana,1358,15598,3680,80.0,16.8,3.1,0.1,87.3
Brazil,153307,18272,3469,79.5,17.5,2.8,0.1,89.0
British Caribbean,567,45109,14684,44.0,47.7,7.9,0.4,80.8
Brunei,309,39098,5122,64.0,32.1,3.5,0.4,91.6
Bulgaria,5586,36443,17403,38.7,54.9,6.2,0.2,70.1
Burkina Faso,9480,1681,622,98.0,1.9,0.1,0.0,76.8
Burundi,5381,728,281,99.5,0.5,0.0,0.0,75.1
Cambodia,10180,5895,2031,90.7,8.7,0.6,0.0,78.7
Cameroon,12716,3042,941,94.3,5.5,0.2,0.0,81.6
Canada,29934,332323,125688,20.7,25.1,48.6,5.6,71.9
Central African Republic,2161,840,212,98.8,1.2,0.0,0.0,85.9
Chad,7059,1117,355,98.7,1.3,0.1,0.0,80.6
Chile,14259,53591,17747,39.1,51.6,8.8,0.5,79.7
China,1104956,67771,24067,20.9,66.1,12.5,0.5,70.4
Colombia,35612,16928,4854,72.0,25.4,2.5,0.1,82.7
Comoros,447,5397,1466,91.5,7.9,0.6,0.0,84.8
"Congo, Dem. Rep.",39740,1240,356,98.3,1.6,0.1,0.0,83.2
"Congo, Rep.",2707,2180,582,95.6,4.2,0.1,0.0,84.7
Costa Rica,3696,44337,14662,44.0,47.4,8.4,0.3,79.9
Croatia,3303,69140,34945,27.0,57.0,15.5,0.5,68.5
Cyprus,679,142304,35300,23.0,57.0,18.3,1.7,80.7
Czechia,8528,78103,23794,29.6,55.7,14.0,0.7,77.7
Denmark,4557,376069,165622,15.4,25.4,52.5,6.7,73.6
Djibouti,618,3112,1077,94.0,6.0,0.0,0.0,78.8
